PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
040069,01-JAN-14,31-DEC-14,As Submitted,18259819,28969178,42251253
040071,01-JUL-14,30-JUN-15,As Submitted,140767587,363553271,359067494
040072,01-JAN-14,31-DEC-14,As Submitted,24635899,14975769,44169012
040074,01-JUL-14,30-JUN-15,Settled,24362439,29785538,37158729
040076,01-JAN-14,31-DEC-14,As Submitted,21807941,21566718,27785759
040078,01-SEP-14,31-AUG-15,As Submitted,74407831,444966763,399532496
040080,01-AUG-14,31-JAN-15,Settled,8937448,21292759,29250733
040084,01-JUL-14,30-JUN-15,Settled,72503635,107604452,136116719
040085,01-JAN-14,31-DEC-14,Amended,20247661,50285658,65435425
040088,01-JUL-14,30-JUN-15,Amended,55665213,200221445,209475208
040114,01-JAN-14,31-DEC-14,As Submitted,369602180,1090037575,578463619
040118,01-OCT-13,30-SEP-14,Settled,137568529,263331023,253110926
040119,01-OCT-13,30-SEP-14,Settled,117653288,222804528,244013189
040132,01-JAN-14,31-DEC-14,Settled,6169615,7154670,2840797
040134,01-OCT-13,30-SEP-14,As Submitted,115024761,205066364,307255671
040137,01-JUL-14,30-JUN-15,Settled,21531608,30843491,93622660
040147,01-JAN-14,31-DEC-14,Settled,46938128,106833388,78159568
040152,01-JAN-14,31-DEC-14,Reopened,28219570,38913049,52321593
040153,01-OCT-13,30-SEP-14,Settled,12257128,23391641,35079978
041300,01-JUL-14,30-JUN-15,As Submitted,,1036971,9561567
041302,01-JUL-14,30-JUN-15,As Submitted,12305250,11511714,13448635
041303,01-JUL-14,30-JUN-15,Settled,,3205040,14966875
041304,01-JAN-14,31-DEC-14,Settled,,3331766,8030295
041305,01-JUL-14,30-JUN-15,Settled,,4031482,13669688
041306,01-JAN-14,31-DEC-14,As Submitted,,3215110,4896624
041307,01-OCT-13,30-SEP-14,Settled,,4023008,12589774
041308,01-JUL-14,30-JUN-15,Settled,,1382129,10143813
041309,01-JUL-14,30-JUN-15,As Submitted,,5837968,10112560
